URL,Status,Page type,Primary keyword,Secondary keywords,SEO title,Meta description,H1,Primary CTA
/,Rewrite,Homepage,"dakwerken Antwerpen","dakrenovatie Antwerpen|dakwerker Wuustwezel","Dakwerken en Dakrenovatie in Antwerpen | EVM Dakwerken","Dakwerken in Antwerpen, Wuustwezel en omstreken? EVM Dakwerken helpt met dakrenovatie, platte en hellende daken, isolatie, groendaken en asbestverwijdering. Vraag uw offerte aan.","Dakwerker voor dakrenovatie, platte en hellende daken in Antwerpen","Vraag uw offerte aan"
/contact/,Rewrite,Contact,"dakwerker contact Antwerpen","offerte dakwerken|dakwerker Wuustwezel","Contact Dakwerker in Wuustwezel en Antwerpen | EVM Dakwerken","Contacteer EVM Dakwerken voor dakwerken in Antwerpen en omstreken. Bel, mail of vraag een vrijblijvende offerte aan voor renovatie, isolatie of herstelling.","Contacteer EVM Dakwerken voor dakwerken in Antwerpen","Bel voor advies"
/nieuwbouw-renovatie/,Rewrite,Service,"dakrenovatie Antwerpen","nieuw dak plaatsen|dak vernieuwen","Dakrenovatie en Nieuw Dak in Antwerpen | EVM Dakwerken","Dak renoveren of een nieuw dak laten plaatsen in Antwerpen? EVM Dakwerken realiseert hellende en platte daken met duurzame materialen en correcte afwerking.","Nieuw dak plaatsen of dak renoveren in Antwerpen","Vraag een offerte aan"
/isolatie/,Rewrite,Service,"dakisolatie Antwerpen","energie besparen dak|dakisolatie renovatie","Dakisolatie in Antwerpen | Advies en Offerte | EVM Dakwerken","Dakisolatie laten plaatsen in Antwerpen? Verlaag uw energiekosten met een goed geisoleerd dak. EVM Dakwerken adviseert, isoleert en renoveert op maat.","Dakisolatie in Antwerpen voor meer comfort en lagere energiekosten","Vraag isolatie-advies aan"
/groendak/,Rewrite,Service,"groendak Antwerpen","groendak aanleggen|plat dak groendak","Groendak laten aanleggen in Antwerpen | EVM Dakwerken","Een groendak laten aanleggen in Antwerpen? EVM Dakwerken plaatst duurzame groendaken met aandacht voor isolatie, waterbuffering en levensduur.","Groendak laten plaatsen in Antwerpen","Vraag een offerte aan"
/zonnepanelen/,Rewrite,Service,"indak zonnepanelen Antwerpen","zonnepanelen dak integratie|nieuw dak zonnepanelen","Indak Zonnepanelen in Antwerpen | EVM Dakwerken","Indak zonnepanelen laten plaatsen in Antwerpen? EVM Dakwerken combineert een strak dakbeeld met duurzame energie en een waterdichte afwerking.","Indak zonnepanelen voor renovatie en nieuwbouw in Antwerpen","Vraag advies aan"
/asbest/,Rewrite,Service,"asbest dak verwijderen Antwerpen","asbestdak vervangen|veilige asbestverwijdering","Asbest Dak Verwijderen in Antwerpen | EVM Dakwerken","Asbest dak laten verwijderen in Antwerpen? EVM Dakwerken begeleidt veilige afbraak, correcte afvoer en de nieuwe dakopbouw in een duidelijke totaaloplossing.","Asbestdak veilig laten verwijderen in Antwerpen","Vraag een inspectie aan"
/dak-timmer/,Rewrite,Service,"daktimmerwerken Antwerpen","dakconstructie hout|houten dakstructuur","Daktimmerwerken en Dakconstructies | EVM Dakwerken","Daktimmerwerken nodig voor renovatie of nieuwbouw? EVM Dakwerken bouwt en herstelt stevige dakconstructies in hout voor woningen en bedrijfsgebouwen.","Daktimmerwerken voor sterke en duurzame dakconstructies","Vraag technisch advies aan"
/staaldak/,Rewrite,Service,"sandwichpanelen dak","industriele daken Antwerpen|staaldak bedrijfshal","Industriele Daken en Sandwichpanelen | EVM Dakwerken","Een industrieel dak of sandwichpanelen laten plaatsen? EVM Dakwerken realiseert sterke en onderhoudsvriendelijke dakoplossingen voor hallen en bedrijfsgebouwen.","Industriele daken en sandwichpanelen op maat","Vraag een offerte aan"
/dakrenovatie/,New,Pillar,"dakrenovatie","dak vernieuwen|dakwerken renovatie","Dakrenovatie in Antwerpen en Omstreken | EVM Dakwerken","Uw dak laten renoveren in Antwerpen of omstreken? EVM Dakwerken vernieuwt platte en hellende daken, inclusief isolatie, afwerking en herstellingen.","Dakrenovatie voor platte en hellende daken","Vraag uw offerte aan"
